img_filename,order,seq,mask_filename
data/S_0/42.png,42.0,0.0,data/S_0/label_42.npy
data/S_0/108.png,108.0,0.0,data/S_0/label_108.npy
data/S_0/120.png,120.0,0.0,data/S_0/label_120.npy
data/S_0/149.png,149.0,0.0,data/S_0/label_149.npy
data/S_1/94.png,94.0,1.0,data/S_1/label_94.npy
data/S_1/124.png,124.0,1.0,data/S_1/label_124.npy
data/S_1/125.png,125.0,1.0,data/S_1/label_125.npy
data/S_2/25.png,25.0,2.0,data/S_2/label_25.npy
data/S_2/69.png,69.0,2.0,data/S_2/label_69.npy
data/S_2/122.png,122.0,2.0,data/S_2/label_122.npy
data/S_3/56.png,56.0,3.0,data/S_3/label_56.npy
data/S_3/85.png,85.0,3.0,data/S_3/label_85.npy
data/S_3/126.png,126.0,3.0,data/S_3/label_126.npy
data/S_4/34.png,34.0,4.0,data/S_4/label_34.npy
data/S_4/81.png,81.0,4.0,data/S_4/label_81.npy
data/S_4/145.png,145.0,4.0,data/S_4/label_145.npy
data/S_5/39.png,39.0,5.0,data/S_5/label_39.npy
data/S_5/50.png,50.0,5.0,data/S_5/label_50.npy
data/S_5/88.png,88.0,5.0,data/S_5/label_88.npy
data/S_6/107.png,107.0,6.0,data/S_6/label_107.npy
data/S_6/113.png,113.0,6.0,data/S_6/label_113.npy
data/S_6/138.png,138.0,6.0,data/S_6/label_138.npy
data/S_7/85.png,85.0,7.0,data/S_7/label_85.npy
data/S_7/122.png,122.0,7.0,data/S_7/label_122.npy
data/S_7/151.png,151.0,7.0,data/S_7/label_151.npy
data/S_8/37.png,37.0,8.0,data/S_8/label_37.npy
data/S_8/101.png,101.0,8.0,data/S_8/label_101.npy
data/S_9/24.png,24.0,9.0,data/S_9/label_24.npy
data/S_9/38.png,38.0,9.0,data/S_9/label_38.npy
data/S_9/71.png,71.0,9.0,data/S_9/label_71.npy
data/S_10/56.png,56.0,10.0,data/S_10/label_56.npy
data/S_10/69.png,69.0,10.0,data/S_10/label_69.npy
data/S_10/140.png,140.0,10.0,data/S_10/label_140.npy
data/S_11/93.png,93.0,11.0,data/S_11/label_93.npy
data/S_11/98.png,98.0,11.0,data/S_11/label_98.npy
data/S_11/109.png,109.0,11.0,data/S_11/label_109.npy
data/S_12/52.png,52.0,12.0,data/S_12/label_52.npy
data/S_12/127.png,127.0,12.0,data/S_12/label_127.npy
data/S_13/20.png,20.0,13.0,data/S_13/label_20.npy
data/S_13/55.png,55.0,13.0,data/S_13/label_55.npy
data/S_13/58.png,58.0,13.0,data/S_13/label_58.npy
data/S_14/93.png,93.0,14.0,data/S_14/label_93.npy
data/S_14/107.png,107.0,14.0,data/S_14/label_107.npy
data/S_15/49.png,49.0,15.0,data/S_15/label_49.npy
data/S_15/107.png,107.0,15.0,data/S_15/label_107.npy
data/S_15/139.png,139.0,15.0,data/S_15/label_139.npy
data/S_16/81.png,81.0,16.0,data/S_16/label_81.npy
data/S_16/137.png,137.0,16.0,data/S_16/label_137.npy
data/S_17/21.png,21.0,17.0,data/S_17/label_21.npy
data/S_17/39.png,39.0,17.0,data/S_17/label_39.npy
data/S_17/110.png,110.0,17.0,data/S_17/label_110.npy
data/S_18/108.png,108.0,18.0,data/S_18/label_108.npy
data/S_18/123.png,123.0,18.0,data/S_18/label_123.npy
data/S_19/52.png,52.0,19.0,data/S_19/label_52.npy
data/S_19/97.png,97.0,19.0,data/S_19/label_97.npy
data/S_19/127.png,127.0,19.0,data/S_19/label_127.npy
data/S_20/59.png,59.0,20.0,data/S_20/label_59.npy
data/S_20/89.png,89.0,20.0,data/S_20/label_89.npy
data/S_21/23.png,23.0,21.0,data/S_21/label_23.npy
data/S_21/50.png,50.0,21.0,data/S_21/label_50.npy
data/S_21/63.png,63.0,21.0,data/S_21/label_63.npy
data/S_22/37.png,37.0,22.0,data/S_22/label_37.npy
data/S_22/123.png,123.0,22.0,data/S_22/label_123.npy
data/S_23/51.png,51.0,23.0,data/S_23/label_51.npy
data/S_23/128.png,128.0,23.0,data/S_23/label_128.npy
data/S_23/141.png,141.0,23.0,data/S_23/label_141.npy
data/S_24/82.png,82.0,24.0,data/S_24/label_82.npy
data/S_24/110.png,110.0,24.0,data/S_24/label_110.npy
data/S_25/20.png,20.0,25.0,data/S_25/label_20.npy
data/S_25/124.png,124.0,25.0,data/S_25/label_124.npy
data/S_25/141.png,141.0,25.0,data/S_25/label_141.npy
data/S_26/127.png,127.0,26.0,data/S_26/label_127.npy
data/S_26/129.png,129.0,26.0,data/S_26/label_129.npy
data/S_27/37.png,37.0,27.0,data/S_27/label_37.npy
data/S_27/71.png,71.0,27.0,data/S_27/label_71.npy
data/S_27/111.png,111.0,27.0,data/S_27/label_111.npy
data/S_28/120.png,120.0,28.0,data/S_28/label_120.npy
data/S_28/135.png,135.0,28.0,data/S_28/label_135.npy
data/S_29/51.png,51.0,29.0,data/S_29/label_51.npy
data/S_29/128.png,128.0,29.0,data/S_29/label_128.npy
data/S_30/18.png,18.0,30.0,data/S_30/label_18.npy
data/S_30/121.png,121.0,30.0,data/S_30/label_121.npy
data/S_30/134.png,134.0,30.0,data/S_30/label_134.npy
data/S_31/70.png,70.0,31.0,data/S_31/label_70.npy
data/S_31/146.png,146.0,31.0,data/S_31/label_146.npy
data/S_32/34.png,34.0,32.0,data/S_32/label_34.npy
data/S_32/91.png,91.0,32.0,data/S_32/label_91.npy
data/S_33/19.png,19.0,33.0,data/S_33/label_19.npy
data/S_33/50.png,50.0,33.0,data/S_33/label_50.npy
data/S_33/120.png,120.0,33.0,data/S_33/label_120.npy
data/S_34/66.png,66.0,34.0,data/S_34/label_66.npy
data/S_34/136.png,136.0,34.0,data/S_34/label_136.npy
data/S_35/22.png,22.0,35.0,data/S_35/label_22.npy
